Observed Property ID,Data Class,Result Unit,Lab: Analysis Method
Chlorophyll Fluorescence ug/L,Field Data,ug/L,
Dissolved Oxygen % Saturation,Field Data,% Saturation,ASTM Method D888-09-C;Dissolved Oxygen in Water by Instrumental Probe Procedure (Luminescence-Based Sensor);ASTM International
Dissolved Oxygen mg/L,Field Data,mg/L,ASTM Method D888-09-C;Dissolved Oxygen in Water by Instrumental Probe Procedure (Luminescence-Based Sensor);ASTM International
MVI,Field Data,,
Latitude,Field Data,decimal degrees,
pH,Field Data,unitless,EPA 150.1;pH in Water by Electrometric Method;EPA Methods
Secchi Depth,Field Data,cm,
Specific Conductance,Field Data,uS/cm,EPA 120.1;Conductance by Conductivity Meter;EPA Methods
Turbidity,Field Data,FNU,EPA 180.1;Turbidity by Turbidimeter;EPA Methods
Water Depth,Field Data,feet,
Water Temperature,Field Data,degC,EPA 170.1;Temperature by Thermometer;EPA Methods
Longitude,Field Data,decimal degrees,
Wind Velocity,Field Data,mph,
Churn Bucket ID,Lab Data,,
Filter Container ID,Lab Data,,
Sky Conditions,Field Data,,
Wave Scale,Field Data,,
Rain,Field Data,,
Water Temperature,Field Data,degC,EPA 170.1;Temperature by Thermometer;EPA Methods
Specific Conductance,Field Data,uS/cm,EPA 120.1;Conductance by Conductivity Meter;EPA Methods
pH,Field Data,unitless,EPA 150.1;pH in Water by Electrometric Method;EPA Methods
Turbidity,Field Data,FNU,EPA 180.1;Turbidity by Turbidimeter;EPA Methods
Chlorophyll Fluorescence ug/L,Field Data,ug/L,
Chlorophyll Fluorescence RFU,Field Data,RFU,
Dissolved Oxygen mg/L,Field Data,mg/L,
Dissolved Oxygen % Saturation,Field Data,% Saturation,
(Bottom) Water Temperature,Field Data,degC,EPA 170.1;Temperature by Thermometer;EPA Methods
(Bottom) Specific Conductance,Field Data,uS/cm,EPA 120.1;Conductance by Conductivity Meter;EPA Methods
(Bottom) pH,Field Data,unitless,EPA 150.1;pH in Water by Electrometric Method;EPA Methods
(Bottom) Turbidity,Field Data,FNU,EPA 180.1;Turbidity by Turbidimeter;EPA Methods
(Bottom) Chlorophyll Fluorescence ug/L,Field Data,ug/L,
(Bottom) Chlorophyll Fluorescence RFU,Field Data,RFU,
(Bottom) Dissolved Oxygen mg/L,Field Data,mg/L,
(Bottom) Dissolved Oxygen % Saturation,Field Data,% Saturation,
Churn Bucket ID,Lab Data,,
Air Temperature,Field Data,degF,
Wind Velocity,Field Data,mph,
Wave Scale,Field Data,,
Microcystis aeruginosa,Field Data,,
Water Depth,Field Data,feet,
